nome_variacao_original,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,variacao_a_adicionar,observacao,confianca
AgResearch,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,AgResearch,AgResearch,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Acad Sci & Innovat Res,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Acad Science & Innovat Research,Acad Sci & Innovat Res,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Jiangxi Acad Agr Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Jiangxi Acad Agricultural Science,Jiangxi Acad Agr Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Bulgarian Acad Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Bulgarian Acad Science,Bulgarian Acad Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Inst Crop Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Institute Crop Science,Natl Inst Crop Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
ICAR Cent Arid Zone Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,ICAR Cent Arid Zone Research Institute,ICAR Cent Arid Zone Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Hunan Acad Agr Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Hunan Acad Agricultural Science,Hunan Acad Agr Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
China Mobile Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,China Mobile Research Institute,China Mobile Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Chettinad Acad Res & Educ,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Chettinad Acad Research & Educ,Chettinad Acad Res & Educ,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Inst Nacl Tecnol Agr INTA,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Instituto Nacional de Tecnología Agropecuaria,Inst Nacl Tecnol Agr INTA,Instituição de pesquisa.,Alta
Manipal Acad Higher Educ MAHE,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Manipal Acad Higher Educ MAHE,Manipal Acad Higher Educ MAHE,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Karpagam Acad Higher Educ,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Karpagam Acad Higher Educ,Karpagam Acad Higher Educ,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Corp Colombiana Invest Agr Agrosavia,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Corporación Colombiana de Investigación Agropecuaria,Corp Colombiana Invest Agr Agrosavia,Unificar grafia.,Alta
Natl Agr & Food Res Org,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Agricultural & Food Research Org,Natl Agr & Food Res Org,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Agr Engn Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Agricultural Engineering Research Institute,Agr Engn Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Agr Res Org,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Agricultural Research Org,Agr Res Org,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Chinese Acad Sci CASIA,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Chinese Academy of Sciences,Chinese Acad Sci CASIA,Instituição de pesquisa.,Alta
ICAR Indian Grassland & Fodder Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,ICAR Indian Grassland & Fodder Research Institute,ICAR Indian Grassland & Fodder Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
ICAR Natl Inst Abiot Stress Management,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,ICAR National Institute Abiot Stress Management,ICAR Natl Inst Abiot Stress Management,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Inst Med Res,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Institute Med Research,Natl Inst Med Res,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Inst Oceanog & Fisheries NIOF,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Institute Oceanog & Fisheries NIOF,Natl Inst Oceanog & Fisheries NIOF,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Commonwealth Sci & Ind Res Org,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Commonwealth Science & Ind Research Org,Commonwealth Sci & Ind Res Org,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Coconut Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Coconut Research Institute,Coconut Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
ICAR Cent Coastal Agr Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,ICAR Cent Coastal Agricultural Research Institute,ICAR Cent Coastal Agr Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Inst Adv Ind Sci & Technol,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Institute Adv Ind Science & Technology,Natl Inst Adv Ind Sci & Technol,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
ICAR Cent Res Inst Dryland Agr CRIDA,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,ICAR Cent Research Institute Dryland Agricultural CRIDA,ICAR Cent Res Inst Dryland Agr CRIDA,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Ramakrishna Mission Vivekananda Educ & Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Ramakrishna Mission Vivekananda Educ & Research Institute,Ramakrishna Mission Vivekananda Educ & Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Vietnam Acad Sci & Technol VAST,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Vietnam Acad Science & Technology VAST,Vietnam Acad Sci & Technol VAST,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Dairy Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Dairy Research Institute,Natl Dairy Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
EMBRAPA,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,EMBRAPA,EMBRAPA,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Inst Design,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Institute Design,Natl Inst Design,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Fujian Acad Agr Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Fujian Acad Agricultural Science,Fujian Acad Agr Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Arab Acad Sci & Technol AAST,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Arab Acad Science & Technology AAST,Arab Acad Sci & Technol AAST,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Chinese Acad Fishery Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Chinese Acad Fishery Science,Chinese Acad Fishery Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Inst Plant Genome Res NIPGR,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Institute Plant Genome Research NIPGR,Natl Inst Plant Genome Res NIPGR,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Inst Ind Engn NITIE,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Institute Ind Engineering NITIE,Natl Inst Ind Engn NITIE,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Chinese Acad Agr Sci CAAS,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Chinese Academy of Agricultural Sciences,Chinese Acad Agr Sci CAAS,Instituição de pesquisa.,Alta
China Acad Chinese Med Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,China Acad Chinese Med Science,China Acad Chinese Med Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Cent Pulp & Paper Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Cent Pulp & Paper Research Institute,Cent Pulp & Paper Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Acad Mil Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Acad Mil Science,Acad Mil Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
China Natl Rice Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,China National Rice Research Institute,China Natl Rice Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Embrapa Dairy Cattle,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Embrapa Dairy Cattle,Embrapa Dairy Cattle,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Int Food Policy Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Int Food Policy Research Institute,Int Food Policy Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
ICAR Natl Inst Nat Fibre Engn & Technol,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,ICAR National Institute Nat Fibre Engineering & Technology,ICAR Natl Inst Nat Fibre Engn & Technol,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Yunnan Acad Tobacco Agr Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Yunnan Acad Tobacco Agricultural Science,Yunnan Acad Tobacco Agr Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Bridges Acad Excellence,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Bridges Acad Excellence,Bridges Acad Excellence,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Embrapa Instrumentacao,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Embrapa Instrumentacao,Embrapa Instrumentacao,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Inst Res & Dev Potato & Sugar Beet,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Institute Research & Dev Potato & Sugar Beet,Natl Inst Res & Dev Potato & Sugar Beet,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Bangladesh Agr Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Bangladesh Agricultural Research Institute,Bangladesh Agr Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Bangladesh Wheat & Maize Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Bangladesh Wheat & Maize Research Institute,Bangladesh Wheat & Maize Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
ICAR Natl Inst Biot Stress Management,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,ICAR National Institute Biot Stress Management,ICAR Natl Inst Biot Stress Management,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Synchrotron Light Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Synchrotron Light Research Institute,Synchrotron Light Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Inst Nacl Saude,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Institute Nacl Saude,Inst Nacl Saude,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Guangxi Acad Agr Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Guangxi Acad Agricultural Science,Guangxi Acad Agr Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Inst Plant Genome Res,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Institute Plant Genome Research,Natl Inst Plant Genome Res,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Nanjing Hydraul Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Nanjing Hydraul Research Institute,Nanjing Hydraul Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Henan Acad Innovat Med Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Henan Acad Innovat Med Science,Henan Acad Innovat Med Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Czech Acad Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Czech Acad Science,Czech Acad Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Maritsa Vegetable Crops Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Maritsa Vegetable Crops Research Institute,Maritsa Vegetable Crops Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Vietnam Acad Sci & Technol,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Vietnam Acad Science & Technology,Vietnam Acad Sci & Technol,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Royal Swedish Acad Sci,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Royal Swedish Acad Science,Royal Swedish Acad Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Guangzhou Acad Fine Arts,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Guangzhou Acad Fine Arts,Guangzhou Acad Fine Arts,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
CSIR Cent Mech Engn Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,CSIR Cent Mech Engineering Research Institute,CSIR Cent Mech Engn Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Int Livestock Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Int Livestock Research Institute,Int Livestock Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Farmworx Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Farmworx Research Institute,Farmworx Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Desert Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Desert Research Institute,Desert Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Razi Vaccine & Serum Res Inst,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Razi Vaccine & Serum Research Institute,Razi Vaccine & Serum Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Natl Inst Agron Res Tunisia INRAT,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,National Institute Agron Research Tunisia INRAT,Natl Inst Agron Res Tunisia INRAT,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Embrapa Instrumentat,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Embrapa Instrumentat,Embrapa Instrumentat,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
