raw,normalized_raw,occurrences,identificacao,acao,tabela,canonical,tipo,pais,parent,confianca,observacao,cadastrar
Inst Tecnol Quim & Biol ITQB NOVA,inst tecnol quim biol itqb nova,1,"Instituto de Tecnologia Química e Biológica António Xavier (ITQB NOVA), instituto de investigação e educação avançada da Universidade NOVA de Lisboa, em Oeiras.",CADASTRAR_UNIDADE,instituicao_unidades,Instituto de Tecnologia Química e Biológica António Xavier (ITQB NOVA),Instituto de pesquisa e educação avançada,Portugal,Universidade NOVA de Lisboa,alta,Criar/validar Universidade NOVA de Lisboa e cadastrar o raw como original_variation_name do ITQB NOVA.,Como unidade da Universidade NOVA de Lisboa.
Anant Bajaj Retina Inst,anant bajaj retina inst,1,"Provável instituto/clínica de retina “Anant Bajaj Retina Institute”, mas não foi possível validar com segurança por fonte pública a partir do termo truncado.",REVISAR_MANUALMENTE_ANTES_DE_CADASTRAR,organizacoes,Anant Bajaj Retina Institute,Instituto/clínica oftalmológica,Provável Índia,Hospital/sistema de saúde a identificar,baixa,Não cadastrar até confirmar o nome completo na afiliação original.,Não cadastrar em instituicoes_ensino.
Agr Informat Inst Chinese Acad Agr Sci,agr informat inst chinese acad agr sci,1,"Agricultural Information Institute, Chinese Academy of Agricultural Sciences (CAAS).",CADASTRAR_UNIDADE,instituicao_unidades,"Agricultural Information Institute, Chinese Academy of Agricultural Sciences",Instituto de pesquisa,China,Chinese Academy of Agricultural Sciences,alta,Criar/validar primeiro Chinese Academy of Agricultural Sciences. Cadastrar este raw como original_variation_name da unidade.,Como unidade/instituto da CAAS.
5510 Nathan Shock Dr,5510 nathan shock dr,1,"Endereço, não instituição.",NAO_CADASTRAR_BLACKLIST,nenhuma,N/A,Endereço/ruído,Provável EUA,N/A,alta,Remover do JSON bruto document.institutions ou criar filtro/blacklist no importador.,Não cadastrar.
Borgess Heart Inst,borgess heart inst,1,"Provável “Borgess Heart Institute”, unidade/organização médica associada ao sistema Borgess/Ascension. Precisa confirmar na afiliação completa.",REVISAR_MANUALMENTE_ANTES_DE_CADASTRAR,organizacoes,Borgess Heart Institute,Instituto/centro médico,Estados Unidos provável,"Ascension Borgess ou hospital relacionado, a confirmar",média-baixa,Cadastrar como organizacao médica se confirmado. Não é instituição acadêmica.,Não cadastrar em instituicoes_ensino.
Agr Res Stn ARS,agr res stn ars,1,Abreviação genérica para “Agricultural Research Station (ARS)”. Pode ser estação agrícola de diferentes países/instituições.,REVISAR_PAIS_DO_DOCUMENTO,instituicao_unidades ou organizacoes,Agricultural Research Station (ARS),Estação de pesquisa agrícola,Depende do documento,Depende do documento,baixa sem contexto,Não cadastrar globalmente porque ARS pode significar USDA Agricultural Research Service ou Agricultural Research Station de universidade/agência local.,Cadastrar somente com país e instituição-pai definidos.
SINTEF Energy Res,sintef energy res,1,"SINTEF Energy Research, unidade/empresa de pesquisa do grupo SINTEF, Noruega.",CADASTRAR_ORGANIZACAO_OU_UNIDADE,organizacoes ou instituicao_unidades,SINTEF Energy Research,Instituto/organização de pesquisa,Noruega,SINTEF,alta,"Se quiser vincular a produção ao grupo SINTEF como instituição, cadastre SINTEF em instituicoes_ensino e esta como unidade com parent_institution_id. Se só quiser remover dos não encontrados, organizacoes resolve.","Preferível como unidade/organização de pesquisa, não como universidade."
Sustainable Energy Catapult Ctr,sustainable energy catapult ctr,1,"Provável centro/organização ligada a “Energy Systems Catapult” ou outro Catapult Centre do Reino Unido, mas o nome exato “Sustainable Energy Catapult Centre” não foi validado.",REVISAR_MANUALMENTE_ANTES_DE_CADASTRAR,organizacoes,Sustainable Energy Catapult Centre,Centro/organização de inovação em energia,Provável Reino Unido,A confirmar,baixa,Validar afiliação completa. Não cadastrar automaticamente como instituição acadêmica.,Não cadastrar em instituicoes_ensino sem validação.
118 Parr St,118 parr st,1,"Endereço, não instituição.",NAO_CADASTRAR_BLACKLIST,nenhuma,N/A,Endereço/ruído,Indefinido,N/A,alta,Remover do JSON bruto document.institutions ou criar filtro/blacklist no importador.,Não cadastrar.
1280 Montgomery Blvd,1280 montgomery blvd,1,"Endereço, não instituição.",NAO_CADASTRAR_BLACKLIST,nenhuma,N/A,Endereço/ruído,Provável EUA,N/A,alta,Remover do JSON bruto document.institutions ou criar filtro/blacklist no importador.,Não cadastrar.
