nome_variacao_original,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,observacao,confianca
Microsoft,mover_para_organizacoes,organizacoes,Empresa privada,Microsoft,Não é universidade.,Alta
Minist Hlth,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Health,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Massachusetts Gen Hosp,mover_para_organizacoes,organizacoes,Hospital,Massachusetts General Hospital,Não é universidade; hospital/centro médico.,Alta
Corteva Agrisci,mover_para_organizacoes,organizacoes,Empresa privada,Corteva Agriscience,Não é universidade.,Alta
Minist Nat Resources,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Nat Resources,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Royal Adelaide Hosp,mover_para_organizacoes,organizacoes,Hospital,Royal Adelaide Hospital,Não é universidade.,Alta
Hanumayamma Innovat & Technol Private Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Hanumayamma Innovat & Technology Private Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
US Geol Survey,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,US Geol Survey,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Govt India,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Govt India,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
LV Prasad Eye Inst,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,LV Prasad Eye Institute,Não cadastrar como instituição de ensino principal.,Alta
Bayer Crop Sci,mover_para_organizacoes,organizacoes,Empresa privada,Bayer Crop Science,Não é universidade.,Alta
Microsoft Corp,mover_para_organizacoes,organizacoes,Empresa privada,Microsoft Corporation,Não é universidade.,Alta
KIET Grp Inst,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,KIET Grp Institute,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Texas A&M Univ Syst,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Texas A&M University Syst,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Flinders Med Ctr,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Flinders Med Center,Não cadastrar como instituição de ensino principal.,Alta
IBM Res,mover_para_organizacoes,organizacoes,Centro de pesquisa corporativo,IBM Research,Não é universidade.,Alta
Food & Agr Org United Nations FAO,mover_para_organizacoes,organizacoes,Organismo internacional,Food and Agriculture Organization of the United Nations,Não é universidade.,Alta
NASA,mover_para_organizacoes,organizacoes,Agência pública,National Aeronautics and Space Administration,Não é universidade.,Alta
Food & Agr Org United Nations,mover_para_organizacoes,organizacoes,Organismo internacional,Food and Agriculture Organization of the United Nations,Não é universidade.,Alta
Food Agil CRC Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Food Agil CRC Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
US Environm Protect Agcy,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,US Environment Protect Agency,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Agr Res Corp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Agricultural Research Corp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
AIT Austrian Inst Technol GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,AIT Austrian Institute Technology GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Natl Clin Res Ctr Eye Dis,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,National Clin Research Center Eye Dis,Não cadastrar como instituição de ensino principal.,Alta
Ras Labs Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Ras Labs Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Tassal Grp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Tassal Grp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
UNINOVA Ctr Technol & Syst CTS,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,UNINOVA Center Technology & Syst CTS,Padrão de empresa privada ou centro de P&D corporativo.,Alta
NOAA,mover_para_organizacoes,organizacoes,Agência pública,National Oceanic and Atmospheric Administration,Não é universidade.,Alta
Royal Victorian Eye & Ear Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Royal Victorian Eye & Ear Hospital,Não cadastrar como instituição de ensino principal.,Alta
Lions Eye Inst,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Lions Eye Institute,Não cadastrar como instituição de ensino principal.,Alta
Beijing Engn & Technol Res Ctr Internet Things Ag,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Beijing Engineering & Technology Research Center Internet Things Ag,Padrão de empresa privada ou centro de P&D corporativo.,Alta
US Forest Serv,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,US Forest Serv,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
INESC TEC Inst Syst & Comp Engn Technol & Sci,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,INESC TEC Institute Syst & Comp Engineering Technology & Science,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Minist Ecol & Environm,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Ecol & Environment,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Ballarat Base Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Ballarat Base Hospital,Não cadastrar como instituição de ensino principal.,Alta
farmB Digital Agr SA,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,farmB Digital Agricultural SA,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Partners Hlth,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Partners Health,Não cadastrar como instituição de ensino principal.,Alta
Dept Agr,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Agricultural,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Mayo Clin,mover_para_organizacoes,organizacoes,Hospital / centro médico,Mayo Clinic,Não é universidade.,Alta
Johns Hopkins Bloomberg Sch Publ Hlth,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Johns Hopkins Bloomberg Sch Publ Health,Não cadastrar como instituição de ensino principal.,Alta
Brazilian Agr Res Corp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Brazilian Agricultural Research Corp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Minist Earth Sci,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Earth Science,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Westmead Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Westmead Hospital,Não cadastrar como instituição de ensino principal.,Alta
Virtual Hlth Hub,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Virtual Health Hub,Não cadastrar como instituição de ensino principal.,Alta
Corp Univ Empresarial Alexander Von Humboldt,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Corp University Empresarial Alexander Von Humboldt,Padrão de empresa privada ou centro de P&D corporativo.,Alta
GTEV ReX Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,GTEV ReX Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Princess Alexandra Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Princess Alexandra Hospital,Não cadastrar como instituição de ensino principal.,Alta
Gen Hosp Northern Theater Command,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Gen Hospital Northern Theater Command,Não cadastrar como instituição de ensino principal.,Alta
NYU Langone Hlth,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,NYU Langone Health,Não cadastrar como instituição de ensino principal.,Alta
Persistent Syst,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Persistent Syst,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Inst Syst & Comp Engn Technol & Sci INESC TEC,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Institute Syst & Comp Engineering Technology & Science INESC TEC,Padrão de empresa privada ou centro de P&D corporativo.,Alta
United Nations Univ,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,United Nations University,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
ICAR Indian Inst Farming Syst Res,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,ICAR Indian Institute Farming Syst Research,Padrão de empresa privada ou centro de P&D corporativo.,Alta
NATL INST ANIM HLTH,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,National Institute ANIM Health,Não cadastrar como instituição de ensino principal.,Alta
Alberta Hlth Serv,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Alberta Health Serv,Não cadastrar como instituição de ensino principal.,Alta
Marshfield Clin Res Inst,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Marshfield Clin Research Institute,Não cadastrar como instituição de ensino principal.,Alta
Henan Prov Peoples Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Henan Prov Peoples Hospital,Não cadastrar como instituição de ensino principal.,Alta
Beijing Tsinghua Changgung Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Beijing Tsinghua Changgung Hospital,Não cadastrar como instituição de ensino principal.,Alta
Bayer US Crop Sci,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Bayer US Crop Science,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Univ Arkansas Syst,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,University Arkansas Syst,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Intelligent Syst Associate Lab LASI,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Intelligent Syst Associate Lab LASI,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Yechun Food Prod & Distribut Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Yechun Food Prod & Distribut Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Minist Emergency Management China,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Emergency Management China,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Reg Agcy Agr Dev,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Reg Agency Agricultural Dev,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Dept Comp Sci,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Comp Science,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
BP Koirala Inst Hlth Sci,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,BP Koirala Institute Health Science,Não cadastrar como instituição de ensino principal.,Alta
Natl Res & Innovat Agcy BRIN,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,National Research & Innovat Agency BRIN,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
World Bank,mover_para_organizacoes,organizacoes,Organismo internacional,World Bank,Não é universidade.,Alta
Inst Med Res & Occupat Hlth,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Institute Med Research & Occupat Health,Não cadastrar como instituição de ensino principal.,Alta
Idea Re Srl,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Idea Re Srl,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Translat Hlth Sci & Technol Inst,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Translat Health Science & Technology Institute,Não cadastrar como instituição de ensino principal.,Alta
Fraunhofer Inst Intelligent Anal & Informat Syst,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Fraunhofer Institute Intelligent Anal & Informat Syst,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Natl Ctr Global Hlth & Med,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,National Center Global Health & Med,Não cadastrar como instituição de ensino principal.,Alta
Amazon,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Amazon,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Aventis CropSci GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Aventis CropSci GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Metisa Biotechnol Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Metisa Biotechnol Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Royal North Shore Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Royal North Shore Hospital,Não cadastrar como instituição de ensino principal.,Alta
Lyell McEwin Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Lyell McEwin Hospital,Não cadastrar como instituição de ensino principal.,Alta
Royal Melbourne Hosp,mover_para_organizacoes,organizacoes,Hospital,Royal Melbourne Hospital,Não é universidade.,Alta
Dawoon Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Dawoon Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
DFKI GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,DFKI GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
NanoSciTec GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,NanoSciTec GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Natl Key Lab Smart Farm Technol & Syst,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,National Key Lab Smart Farm Technology & Syst,Padrão de empresa privada ou centro de P&D corporativo.,Alta
QZ Solut,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,QZ Solut,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Sch Educ Dept,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Sch Educ Department,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Orange Polska SA,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Orange Polska SA,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Geisinger Med Ctr,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Geisinger Med Center,Não cadastrar como instituição de ensino principal.,Alta
Mt Sinai Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Mt Sinai Hospital,Não cadastrar como instituição de ensino principal.,Alta
Shell Int Explorat & Prod Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Shell Int Explorat & Prod Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
DigiTech Lab LLC,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,DigiTech Lab LLC,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Corp Univ Reformada,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Corp University Reformada,Padrão de empresa privada ou centro de P&D corporativo.,Alta
United Nations Dev Programme UNDP,mover_para_organizacoes,organizacoes,Organismo internacional,United Nations Development Programme,Não é universidade.,Alta
Beth Israel Deaconess Med Ctr,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Beth Israel Deaconess Med Center,Não cadastrar como instituição de ensino principal.,Alta
Innov8ai Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Innov8ai Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Minist Agr & Rural Affairs Peoples Republ China,mover_para_organizacoes,organizacoes,Órgão público / ministério,Ministry of Agriculture and Rural Affairs of the People's Republic of China,Não é universidade.,Alta
Hosp Olhos Sergipe,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Hospital Olhos Sergipe,Não cadastrar como instituição de ensino principal.,Alta
Bayer Telemedallianz BTA,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Bayer Telemedallianz BTA,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Fed Minist Hlth,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Federal Ministry Health,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
SDAS Res Grp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,SDAS Research Grp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
European Space Agcy Lab,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,European Space Agency Lab,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
AgResearch Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,AgResearch Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
AGCO Corp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,AGCO Corp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
State Space Agcy Ukraine,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,State Space Agency Ukraine,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
South Australian Hlth & Med Res Inst,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,South Australian Health & Med Research Institute,Não cadastrar como instituição de ensino principal.,Alta
Anim & Plant Hlth Inspect Serv,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Anim & Plant Health Inspect Serv,Não cadastrar como instituição de ensino principal.,Alta
TOELT LLC,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,TOELT LLC,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Braln Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Braln Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Minist Environm Water & Agr,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Environment Water & Agricultural,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Chandigarh Grp Coll,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Chandigarh Grp College,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Tomsk State Univ Control Syst & Radioelect,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Tomsk State University Control Syst & Radioelect,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Parala Maharaja Engn Coll Govt,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Parala Maharaja Engineering College Govt,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Minist Higher Educ Sci Res & Innovat,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Higher Educ Science Research & Innovat,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Farm4trade Srl,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Farm4trade Srl,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Mitsubishi Electr Corp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Mitsubishi Electr Corp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
New Brunswick Dept Agr Aquaculture & Fisheries,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,New Brunswick Department Agricultural Aquaculture & Fisheries,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Aventis CropSci GmbH Frankfurt,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Aventis CropSci GmbH Frankfurt,Padrão de empresa privada ou centro de P&D corporativo.,Alta
DNDG srl,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,DNDG srl,Padrão de empresa privada ou centro de P&D corporativo.,Alta
CMED Hlth Ltd,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,CMED Health Ltd,Não cadastrar como instituição de ensino principal.,Alta
Queensland Govt,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Queensland Govt,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Inst Commun & Comp Syst,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Institute Commun & Comp Syst,Padrão de empresa privada ou centro de P&D corporativo.,Alta
InternetSpeech Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,InternetSpeech Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Syngenta Jealotts Hill Int Res Ctr,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Syngenta Jealotts Hill Int Research Center,Padrão de empresa privada ou centro de P&D corporativo.,Alta
IBM Multi Act Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,IBM Multi Act Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Govt Punjab,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Govt Punjab,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Swiss Trop & Publ Hlth Inst,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Swiss Trop & Publ Health Institute,Não cadastrar como instituição de ensino principal.,Alta
Govt Med Coll,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Govt Med College,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
iKnowHow SA,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,iKnowHow SA,Padrão de empresa privada ou centro de P&D corporativo.,Alta
BASF SA,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,BASF SA,Padrão de empresa privada ou centro de P&D corporativo.,Alta
SA Engn Coll,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,SA Engineering College,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Aravind Eye Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Aravind Eye Hospital,Não cadastrar como instituição de ensino principal.,Alta
EVJA Srl,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,EVJA Srl,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Corp Univ Minuto Dios UNIMINUTO,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Corp University Minuto Dios UNIMINUTO,Padrão de empresa privada ou centro de P&D corporativo.,Alta
BAYER LANDESANSTALT BODENKULTUR & PFLANZENBAU,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,BAYER LANDESANSTALT BODENKULTUR & PFLANZENBAU,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Minist Food & Agr,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Food & Agricultural,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
SISTEMA GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,SISTEMA GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
IBM TJ Watson Res Ctr,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,IBM TJ Watson Research Center,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Eurofins Agrosci Serv Ecotox GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Eurofins Agrosci Serv Ecotox GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
New Zealand Inst Plant & Food Res Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,New Zealand Institute Plant & Food Research Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Midea Grp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Midea Grp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Sound Solut Sustainable Sci,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Sound Solut Sustainable Science,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Hayan Grp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Hayan Grp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Ephlux Pvt Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Ephlux Pvt Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
EPAM Syst,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,EPAM Syst,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Natl Inst Publ Hlth & Environm,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,National Institute Publ Health & Environment,Não cadastrar como instituição de ensino principal.,Alta
Omni Analyt Grp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Omni Analyt Grp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Nebraska Dept Water Energy & Environm,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Nebraska Department Water Energy & Environment,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Bio Zenith Sci Res Pvt Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Bio Zenith Science Research Pvt Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
CENEX LAND OLAKES AG SERV,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,CENEX LAND OLAKES AG SERV,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Pacific Rim Labs Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Pacific Rim Labs Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Norwest Italia Srl,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Norwest Italia Srl,Padrão de empresa privada ou centro de P&D corporativo.,Alta
AgroFair Europe BV,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,AgroFair Europe BV,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Govt Grad Coll Women,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Govt Grad College Women,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Agcy New & Renewable Energy Res & Technol ANERT,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Agency New & Renewable Energy Research & Technology ANERT,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
