valor_original,ocorrencias,categoria,acao_recomendada,country_name_sugerido,state_sigla_sugerido,state_name_sugerido,postal_code_sugerido,observacao
VA 22030 USA,13,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,VA,Virginia,22030,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CO 80523 USA,13,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CO,Colorado,80523,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NE 68583 USA,12,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NE,Nebraska,68583,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MI 48109 USA,12,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MI,Michigan,48109,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MD 20742 USA,12,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MD,Maryland,20742,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
LA 70803 USA,11,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,LA,Louisiana,70803,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MN 55455 USA,11,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MN,Minnesota,55455,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MO 65211 USA,11,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MO,Missouri,65211,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
ND 58102 USA,11,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,ND,North Dakota,58102,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NY 14850 USA,11,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NY,New York,14850,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
WA 99164 USA,11,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,WA,Washington,99164,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MO 63108 USA,10,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MO,Missouri,63108,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 94305 USA,10,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,94305,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
AL 36849 USA,10,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,AL,Alabama,36849,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TX 77446 USA,10,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TX,Texas,77446,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
IA 52242 USA,9,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,IA,Iowa,52242,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
PA 15213 USA,9,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,PA,Pennsylvania,15213,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TX 77840 USA,8,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TX,Texas,77840,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
SC 29634 USA,8,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,SC,South Carolina,29634,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MA 02138 USA,8,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MA,Massachusetts,02138,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 92697 USA,8,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,92697,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
WA 99350 USA,8,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,WA,Washington,99350,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
KY 40506 USA,8,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,KY,Kentucky,40506,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 95192 USA,8,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,95192,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
HI 96822 USA,8,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,HI,Hawaii,96822,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
GA 30332 USA,7,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,GA,Georgia,30332,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MA 01003 USA,7,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MA,Massachusetts,01003,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
PA 19104 USA,7,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,PA,Pennsylvania,19104,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
OR 97331 USA,7,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,OR,Oregon,97331,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TX 79409 USA,7,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TX,Texas,79409,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TN 38505 USA,7,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TN,Tennessee,38505,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CT 06269 USA,7,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CT,Connecticut,06269,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
SD 57007 USA,7,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,SD,South Dakota,57007,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 92521 USA,7,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,92521,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
GA 31793 USA,7,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,GA,Georgia,31793,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
WA 98195 USA,7,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,WA,Washington,98195,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
OH 44691 USA,7,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,OH,Ohio,44691,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
FL 33598 USA,7,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,FL,Florida,33598,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
AZ 85721 USA,7,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,AZ,Arizona,85721,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
IA 50010 USA,6,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,IA,Iowa,50010,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
DC 20250 USA,6,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,DC,District of Columbia,20250,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
GA 30322 USA,6,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,GA,Georgia,30322,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
DC 20052 USA,6,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,DC,District of Columbia,20052,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
OK 73019 USA,6,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,OK,Oklahoma,73019,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
WV 26506 USA,6,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,WV,West Virginia,26506,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 91125 USA,6,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,91125,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
VA 23529 USA,6,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,VA,Virginia,23529,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MI 49931 USA,6,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MI,Michigan,49931,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MN 55108 USA,6,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MN,Minnesota,55108,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 94536 USA,6,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,94536,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TX 78712 USA,6,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TX,Texas,78712,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
WA 98052 USA,6,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,WA,Washington,98052,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
PR 00613 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,PR,Puerto Rico,00613,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NM 88003 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NM,New Mexico,88003,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TN 37209 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TN,Tennessee,37209,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MA 02155 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MA,Massachusetts,02155,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
VA 22903 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,VA,Virginia,22903,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
VA 22203 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,VA,Virginia,22203,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 92093 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,92093,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
AR 72701 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,AR,Arkansas,72701,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TX 75252 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TX,Texas,75252,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
FL 33199 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,FL,Florida,33199,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 90089 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,90089,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
ND 58108 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,ND,North Dakota,58108,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 91768 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,91768,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
IN 47405 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,IN,Indiana,47405,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MO 63132 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MO,Missouri,63132,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NJ 07030 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NJ,New Jersey,07030,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 90095 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,90095,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
PA 16801 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,PA,Pennsylvania,16801,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
IL 60612 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,IL,Illinois,60612,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
IL 61820 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,IL,Illinois,61820,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MD 21218 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MD,Maryland,21218,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
IL 62901 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,IL,Illinois,62901,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
PA 15260 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,PA,Pennsylvania,15260,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
FL 33031 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,FL,Florida,33031,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MD 21228 USA,5,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MD,Maryland,21228,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TX 75080 USA,4,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TX,Texas,75080,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NY 10003 USA,4,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NY,New York,10003,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
UT 84322 USA,4,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,UT,Utah,84322,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MD 20892 USA,4,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MD,Maryland,20892,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
OK 74078 USA,4,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,OK,Oklahoma,74078,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MO 63017 USA,4,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MO,Missouri,63017,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NJ 08901 USA,4,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NJ,New Jersey,08901,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
