nome_variacao_original,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,variacao_a_adicionar,observacao,confianca
McGill Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,McGill University,McGill Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Prince Sattam Bin Abdulaziz Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Prince Sattam Bin Abdulaziz University,Prince Sattam Bin Abdulaziz Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Valencia,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Valencia,Univ Valencia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Malaya,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Malaya,Univ Malaya,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Wageningen Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Wageningen University,Wageningen Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Aarhus Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Aarhus University,Aarhus Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Kansas State Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Kansas State University,Kansas State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Oxford,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Oxford,Univ Oxford,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Univ Singapore,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National University Singapore,Natl Univ Singapore,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Granada,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Granada,Univ Granada,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Shanghai Jiao Tong Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Shanghai Jiao Tong University,Shanghai Jiao Tong Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Petr & Energy Studies,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Petroleum & Energy Studies,Univ Petr & Energy Studies,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Dalhousie Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Dalhousie University,Dalhousie Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Nanyang Technol Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Nanyang Technology University,Nanyang Technol Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Qassim Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Qassim University,Qassim Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Maryland,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Maryland,Univ Maryland,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Amity Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Amity University,Amity Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Wisconsin Madison,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Wisconsin Madison,Univ Wisconsin Madison,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Technol Sydney,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Technology Sydney,Univ Technol Sydney,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Duy Tan Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Duy Tan University,Duy Tan Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Umm Al Qura Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Umm Al Qura University,Umm Al Qura Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Zagreb,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Zagreb,Univ Zagreb,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Tennessee,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Tennessee,Univ Tennessee,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Hong Kong Polytech Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Hong Kong Polytech University,Hong Kong Polytech Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Princess Nourah Bint Abdulrahman Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Princess Nourah Bint Abdulrahman University,Princess Nourah Bint Abdulrahman Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Beijing Inst Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Beijing Institute Technology,Beijing Inst Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Banaras Hindu Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Banaras Hindu University,Banaras Hindu Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Ghent,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Ghent,Univ Ghent,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Cambridge,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Cambridge,Univ Cambridge,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Hohenheim,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Hohenheim,Univ Hohenheim,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Nebraska Lincoln,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Nebraska Lincoln,Univ Nebraska Lincoln,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Minnesota,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Minnesota,Univ Minnesota,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Obuda Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Obuda University,Obuda Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Guizhou Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Guizhou University,Guizhou Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Bari Aldo Moro,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Bari Aldo Moro,Univ Bari Aldo Moro,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Hohai Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Hohai University,Hohai Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Mississippi State Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Mississippi State University,Mississippi State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Saveetha Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Saveetha University,Saveetha Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Kyungpook Natl Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Kyungpook National University,Kyungpook Natl Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Mansoura Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Mansoura University,Mansoura Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Duke Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Duke University,Duke Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Lanzhou Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Lanzhou University,Lanzhou Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Pretoria,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Pretoria,Univ Pretoria,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Zhengzhou Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Zhengzhou University,Zhengzhou Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Princess Nourah bint Abdulrahman Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Princess Nourah bint Abdulrahman University,Princess Nourah bint Abdulrahman Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Ain Shams Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Ain Shams University,Ain Shams Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Aveiro,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Aveiro,Univ Aveiro,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Nanjing Forestry Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Nanjing Forestry University,Nanjing Forestry Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Peking Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Peking University,Peking Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Murdoch Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Murdoch University,Murdoch Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Korea Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Korea University,Korea Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Lund Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Lund University,Lund Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Indian Inst Technol Kharagpur,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Indian Institute Technology Kharagpur,Indian Inst Technol Kharagpur,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Qatar Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Qatar University,Qatar Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Seoul Natl Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Seoul National University,Seoul Natl Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Aristotle Univ Thessaloniki,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Aristotle University Thessaloniki,Aristotle Univ Thessaloniki,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Monash Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Monash University,Monash Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Deakin Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Deakin University,Deakin Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
City Univ Hong Kong,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,City University Hong Kong,City Univ Hong Kong,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Toronto,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Toronto,Univ Toronto,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Alberta,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Alberta,Univ Alberta,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Taiwan Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National Taiwan University,Natl Taiwan Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sao Paulo State Univ UNESP,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sao Paulo State University UNESP,Sao Paulo State Univ UNESP,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Teknol Malaysia,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Teknol Malaysia,Univ Teknol Malaysia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Calif Berkeley,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Calif Berkeley,Univ Calif Berkeley,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Missouri,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Missouri,Univ Missouri,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Lincoln,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Lincoln,Univ Lincoln,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Southeast Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Southeast University,Southeast Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Selcuk Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Selcuk University,Selcuk Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Montpellier,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Montpellier,Univ Montpellier,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
